データコード,FM08'FXERM07,FM09'FX180110002
系列名称,"東京市場　ドル・円　スポット　17時時点/月中平均","実質実効為替レート指数"
1980/07,220.91,83.19
1980/08,224.34,81.74
1980/09,214.95,85.77
1980/10,209.21,87.93
1980/11,212.99,87.16
1980/12,209.79,88.29
1981/01,202.19,91.46
1981/02,205.76,90.97
1981/03,208.84,89.25
1981/04,215.07,87.55
1981/05,220.78,87.09
1981/06,224.21,86.27
1981/07,232.11,83.23
1981/08,233.62,82.78
1981/09,229.83,83.56
1981/10,231.4 ,81.97
1981/11,223.76,83.82
1981/12,219.02,85.77
1982/01,224.55,83.54
1982/02,235.25,80.48
1982/03,240.64,79.38
1982/04,244.9 ,79.14
1982/05,236.97,80.3
1982/06,251.11,76.66
1982/07,255.1 ,75.32
1982/08,258.67,74.88
1982/09,262.74,75.02
1982/10,271.33,73.17
1982/11,265.02,74.69
1982/12,242.49,80.27
1983/01,232.9 ,83.02
1983/02,236.27,81.81
1983/03,237.92,82.07
1983/04,237.7 ,82.26
1983/05,234.78,83.8
1983/06,240.06,82.29
1983/07,240.49,81.85
1983/08,244.36,80.98
1983/09,242.71,82.33
1983/10,233   ,85.5
1983/11,235.25,84.62
1983/12,234.34,85.47
1984/01,233.95,86.08
1984/02,233.67,85.16
1984/03,225.52,87.16
1984/04,224.95,87.69
1984/05,230.67,87.04
1984/06,233.29,85.3
1984/07,242.72,83.39
1984/08,242.24,82.77
1984/09,245.19,84.12
1984/10,246.89,84.54
1984/11,243.29,84.45
1984/12,247.96,84.22
1985/01,254.11,83.04
1985/02,260.34,81.53
1985/03,258.43,82.53
1985/04,251.67,82.77
1985/05,251.57,82.76
1985/06,248.95,83
1985/07,241.7 ,83.92
1985/08,237.2 ,84.43
1985/09,236.91,85.03
1985/10,214.84,92.07
1985/11,203.85,95.45
1985/12,202.75,95.35
1986/01,200.05,95.97
1986/02,184.62,102.59
1986/03,178.83,105.12
1986/04,175.56,107.36
1986/05,166.89,111.98
1986/06,167.82,110.74
1986/07,158.65,115.95
1986/08,154.11,117.75
1986/09,154.78,116.9
1986/10,156.04,115.46
1986/11,162.72,110.46
1986/12,162.13,109.75
1987/01,154.48,111.54
1987/02,153.49,111.23
1987/03,151.56,112.27
1987/04,142.96,118.34
1987/05,140.47,119.18
1987/06,144.52,115.53
1987/07,150.2 ,110.76
1987/08,147.57,112.41
1987/09,143.03,115.1
1987/10,143.48,114.46
1987/11,135.25,117.82
1987/12,128.25,122.14
1988/01,127.44,122.43
1988/02,129.26,120.89
1988/03,127.23,121.64
1988/04,124.88,123.24
1988/05,124.74,123.26
1988/06,127.2 ,121.55
1988/07,133.1 ,117.58
1988/08,133.63,117.74
1988/09,134.45,117.31
1988/10,128.85,121.27
1988/11,123.16,123.61
1988/12,123.63,122.35
1989/01,127.24,119.44
1989/02,127.77,118.33
1989/03,130.35,116.61
1989/04,132.01,116.24
1989/05,138.4 ,112.46
1989/06,143.92,108.59
1989/07,140.63,109.17
1989/08,141.2 ,108.68
1989/09,145.06,106.58
1989/10,141.99,107.96
1989/11,143.55,105.3
1989/12,143.62,103.76
1990/01,145.09,101.31
1990/02,145.54,100.24
1990/03,153.19,95.9
1990/04,158.5 ,92.79
1990/05,153.52,95.23
1990/06,153.78,94.64
1990/07,149.23,95.84
1990/08,147.46,95.06
1990/09,138.96,100.85
1990/10,129.73,107.39
